Dataset,ChunkIndex,CompressionImprovementPct,MaxBitWidth,MinBitWidth,MaxMinBitWidthDiff,BitWidthMean,BitWidthVar,BitWidthStd,BitWidthDiffAbsMean,BitWidthMedian,BitWidthP90,BitWidthChangeCount,BitWidthRunMean,ZeroFrac
Stocks-UK.csv,25,2.562373567093729,12.0,1.0,11.0,10.9599609375,1.087264060974121,1.0427195504900255,0.07038123167155426,11.0,12.0,59,17.066666666666666,0.001953125
Stocks-UK.csv,26,2.2972972972972974,12.0,1.0,11.0,10.837890625,2.0909080505371094,1.4459972512204542,0.11827956989247312,11.0,12.0,95,10.666666666666666,0.001953125
Stocks-UK.csv,27,2.122186495176849,13.0,1.0,12.0,11.5380859375,1.180190086364746,1.0863655399379832,0.05571847507331378,12.0,12.0,43,23.272727272727273,9.765625E-4
Stocks-UK.csv,28,3.0497592295345104,16.0,1.0,15.0,13.8408203125,9.958060264587402,3.1556394383052386,0.08211143695014662,16.0,16.0,61,16.516129032258064,9.765625E-4
Stocks-UK.csv,29,2.3134328358208953,11.0,1.0,10.0,9.6533203125,1.3241491317749023,1.1507167904288624,0.18475073313782991,10.0,11.0,158,6.440251572327044,0.001953125
Stocks-UK.csv,30,2.7636363636363637,11.0,1.0,10.0,10.10546875,1.6021575927734375,1.2657636401688261,0.08797653958944282,11.0,11.0,75,13.473684210526315,9.765625E-4
Stocks-UK.csv,31,2.1106259097525473,12.0,1.0,11.0,10.029296875,1.0596885681152344,1.0294117582946265,0.09970674486803519,10.0,11.0,87,11.636363636363637,9.765625E-4
Stocks-UK.csv,32,2.247191011235955,12.0,1.0,11.0,10.482421875,2.1110191345214844,1.452934662853593,0.093841642228739,11.0,12.0,83,12.19047619047619,9.765625E-4
Stocks-UK.csv,33,2.0516717325227964,11.0,1.0,10.0,9.5029296875,1.6347570419311523,1.2785761776019262,0.1739980449657869,9.0,11.0,165,6.168674698795181,9.765625E-4
Stocks-UK.csv,34,2.1725239616613417,13.0,1.0,12.0,11.59375,3.2373046875,1.7992511463105978,0.07917888563049853,12.0,13.0,65,15.515151515151516,0.001953125
Stocks-UK.csv,35,2.969502407704655,11.0,1.0,10.0,9.03515625,1.2702484130859375,1.1270529770538462,0.08797653958944282,9.0,10.0,74,13.653333333333334,0.001953125
Stocks-UK.csv,36,2.7602523659305995,11.0,1.0,10.0,9.21484375,1.7194671630859375,1.3112845469561278,0.10166177908113393,9.0,11.0,98,10.343434343434344,9.765625E-4
Stocks-UK.csv,37,2.832415420928403,10.0,1.0,9.0,9.2392578125,0.8656072616577148,0.930380170498982,0.10459433040078202,9.0,10.0,95,10.666666666666666,9.765625E-4
Stocks-UK.csv,38,2.3846153846153846,11.0,1.0,10.0,9.5078125,1.34564208984375,1.1600181420321622,0.0772238514173998,10.0,10.0,73,13.837837837837839,9.765625E-4
Stocks-UK.csv,39,2.8718703976435935,11.0,1.0,10.0,9.9931640625,1.473586082458496,1.2139135399436387,0.05278592375366569,10.0,11.0,48,20.897959183673468,9.765625E-4
Stocks-UK.csv,40,2.888368462138954,11.0,1.0,10.0,9.3681640625,1.648634910583496,1.2839917875841325,0.07135874877810362,10.0,11.0,64,15.753846153846155,9.765625E-4
Stocks-UK.csv,41,3.9350405996252342,12.0,1.0,11.0,11.9892578125,0.11804866790771484,0.3435821123220981,0.021505376344086023,12.0,12.0,2,341.3333333333333,9.765625E-4
Stocks-UK.csv,42,2.0475020475020473,10.0,1.0,9.0,8.8876953125,0.8789892196655273,0.9375442494440075,0.0801564027370479,9.0,10.0,74,13.653333333333334,9.765625E-4
Stocks-UK.csv,43,2.463891248937978,10.0,1.0,9.0,8.4921875,0.78704833984375,0.887157449297333,0.10850439882697947,9.0,9.0,103,9.846153846153847,9.765625E-4
Stocks-UK.csv,44,1.9118869492934332,11.0,1.0,10.0,8.669921875,1.9222984313964844,1.3864697729833435,0.14173998044965788,9.0,10.0,140,7.26241134751773,9.765625E-4
Stocks-UK.csv,45,3.4517258629314655,18.0,1.0,17.0,14.8701171875,20.34152889251709,4.51015841102251,0.056695992179863146,18.0,18.0,40,24.975609756097562,9.765625E-4
Stocks-UK.csv,46,2.503832396525294,16.0,1.0,15.0,14.541015625,1.9201927185058594,1.3857101856109233,0.07526881720430108,15.0,15.0,47,21.333333333333332,0.0029296875
Stocks-UK.csv,47,2.014218009478673,14.0,1.0,13.0,12.498046875,0.5175743103027344,0.7194263758736779,0.08993157380254155,13.0,13.0,78,12.962025316455696,9.765625E-4
Stocks-UK.csv,48,2.0765027322404372,15.0,1.0,14.0,13.6806640625,1.949782371520996,1.396346078707208,0.0801564027370479,14.0,15.0,68,14.840579710144928,9.765625E-4
Stocks-UK.csv,49,2.4473534433693795,14.0,1.0,13.0,13.0986328125,0.38577938079833984,0.6211114077187279,0.07526881720430108,13.0,14.0,56,17.964912280701753,9.765625E-4
Stocks-UK.csv,50,2.9443838604143946,19.0,1.0,18.0,13.5439453125,2.4922094345092773,1.5786733146884055,0.10166177908113393,13.0,14.0,79,12.8,9.765625E-4
Stocks-UK.csv,51,1.5951595159515952,15.0,1.0,14.0,13.5517578125,1.2121648788452148,1.1009835960836178,0.0801564027370479,13.0,15.0,69,14.628571428571428,9.765625E-4
Stocks-UK.csv,52,1.7474633596392333,14.0,1.0,13.0,13.2294921875,0.8194036483764648,0.9052091738247381,0.08504398826979472,13.0,14.0,70,14.422535211267606,9.765625E-4
Stocks-UK.csv,53,1.9933554817275747,15.0,1.0,14.0,13.509765625,0.8866233825683594,0.9416068089008062,0.06744868035190615,14.0,14.0,49,20.48,9.765625E-4
Stocks-UK.csv,54,2.581311306143521,15.0,1.0,14.0,14.5302734375,1.6025991439819336,1.26593804903002,0.07233626588465299,15.0,15.0,41,24.38095238095238,9.765625E-4
Stocks-UK.csv,55,1.7291066282420748,15.0,1.0,14.0,12.8369140625,1.505629539489746,1.2270409689532562,0.13587487781036167,13.0,14.0,113,8.982456140350877,9.765625E-4
Stocks-UK.csv,56,1.5133876600698486,14.0,1.0,13.0,12.6982421875,1.0407781600952148,1.0201853557541467,0.1378299120234604,13.0,14.0,122,8.325203252032521,9.765625E-4
Stocks-UK.csv,57,1.9144144144144144,14.0,1.0,13.0,13.2265625,1.30804443359375,1.1436977020147194,0.08797653958944282,14.0,14.0,78,12.962025316455696,0.001953125
Stocks-UK.csv,58,2.5555555555555554,14.0,1.0,13.0,13.4404296875,1.4730138778686523,1.2136778311679968,0.07233626588465299,14.0,14.0,45,22.26086956521739,0.001953125
Stocks-UK.csv,59,1.3919821826280623,15.0,1.0,14.0,13.345703125,1.6129112243652344,1.2700044190337427,0.08406647116324535,14.0,14.0,70,14.422535211267606,9.765625E-4
Stocks-UK.csv,60,2.0642201834862384,14.0,1.0,13.0,12.974609375,1.5130271911621094,1.230051702637783,0.09286412512218964,13.0,14.0,79,12.8,9.765625E-4
Stocks-UK.csv,61,2.645985401459854,19.0,1.0,18.0,16.384765625,19.09414291381836,4.3696845325284475,0.05180840664711633,19.0,19.0,37,26.94736842105263,9.765625E-4
Stocks-UK.csv,62,2.4164889836531627,12.0,1.0,11.0,10.33984375,0.7145843505859375,0.8453309118835874,0.09579667644183773,10.0,11.0,84,12.047058823529412,9.765625E-4
Stocks-UK.csv,63,1.4757554462403373,14.0,1.0,13.0,10.4462890625,1.827193260192871,1.3517371268826166,0.0967741935483871,11.0,12.0,88,11.50561797752809,0.001953125
Stocks-UK.csv,64,2.696629213483146,11.0,1.0,10.0,9.75390625,1.0175628662109375,1.0087432112341266,0.10850439882697947,10.0,11.0,94,10.778947368421052,0.001953125
Stocks-UK.csv,65,2.790395846852693,12.0,1.0,11.0,11.421875,0.632568359375,0.7953416620390258,0.06060606060606061,11.0,12.0,42,23.813953488372093,0.0029296875
Stocks-UK.csv,66,2.5188916876574305,14.0,1.0,13.0,11.8359375,0.26800537109375,0.5176923517821661,0.05083088954056696,12.0,12.0,23,42.666666666666664,9.765625E-4
Stocks-UK.csv,67,2.538370720188902,13.0,1.0,12.0,12.6708984375,0.3789968490600586,0.61562719974028,0.05180840664711633,13.0,13.0,25,39.38461538461539,9.765625E-4
Stocks-UK.csv,68,3.002001334222815,12.0,1.0,11.0,11.0908203125,0.35991573333740234,0.5999297736713876,0.07135874877810362,11.0,12.0,56,17.964912280701753,9.765625E-4
Stocks-UK.csv,69,1.466275659824047,11.0,1.0,10.0,9.8837890625,1.385909080505371,1.1772463975334013,0.15542521994134897,10.0,11.0,141,7.211267605633803,9.765625E-4
Stocks-UK.csv,70,2.4516129032258065,14.0,1.0,13.0,11.5107421875,3.798712730407715,1.949028663310962,0.05180840664711633,11.0,14.0,39,25.6,9.765625E-4
Stocks-UK.csv,71,2.599388379204893,11.0,1.0,10.0,9.5703125,0.78411865234375,0.8855047443936989,0.0772238514173998,10.0,10.0,74,13.653333333333334,9.765625E-4
Stocks-UK.csv,72,3.047484053862509,12.0,1.0,11.0,10.3876953125,2.3799657821655273,1.5427137719504314,0.06647116324535679,11.0,12.0,59,17.066666666666666,9.765625E-4
